Species,Length1,Length2,Length3,Height,Width,Weight
Bream,25.717138634147346,26.596482973213497,29.33780589668909,7.1048101446241585,2.3897911799608598,312.1031075693074
Bream,31.299084931106684,32.43466830686023,35.84341402617417,9.711614856156956,3.866892464597885,533.1504319825898
Bream,19.759837712165044,20.86729591091132,23.64110623475033,4.966126222336163,2.405965420243955,158.3211760139738
Bream,37.537167234586946,40.750921477809456,40.969745864716984,11.515878257942788,2.6598202668305717,1036.417964166345
Bream,33.446791601012364,34.18831644304832,40.45660439895417,7.705095307028656,2.4715479419361914,747.3791977623549
Bream,28.42294357981544,30.51786147781206,34.96822975306076,7.7324550959395,2.3980077795594488,517.4878004360626
Bream,28.315473627773052,28.57738271533498,33.31724515400069,11.048175589687435,3.181107281724346,415.4482438781945
Bream,31.640710986005587,33.044749835199475,36.35355465951146,8.754390275569774,4.767098696613487,660.3001122643235
Bream,28.554634368096565,28.861932547511135,31.31775873000887,9.845610957859098,2.922648807662731,498.7555774483055
Bream,28.780092149718648,30.903673112870447,33.23545178804317,9.157887631079507,3.310085054929244,492.89315100914865
Bream,33.88836622804921,35.950408075140686,37.42989619678655,9.959132346563774,3.007177909132574,817.5102620066965
Bream,32.779408111178356,35.02292650560414,36.68809758191394,8.978795408247978,2.919441461283142,688.3799798984003
Bream,29.653709147575412,30.183373948335337,32.910719511365215,10.42257822426597,2.1011267191864,497.66247501567597
Bream,29.538426558796345,31.225480579791594,33.376473907226796,8.651942836106215,3.232482031872243,551.8209554347501
Bream,30.86894814239448,31.703171178997305,35.96487806653068,11.146683923166124,3.9803759488966675,613.5059503765041
Bream,26.68430066959791,27.446547517265923,29.36752872829259,7.2377653592164695,2.7448996300661306,428.67537600223017
Bream,27.819748570856106,29.284831868457566,30.19863935812651,8.409730819758064,3.8371518180240605,438.0455750375625
Bream,32.960604973114656,35.00145820592654,35.75884565512901,10.501906805273206,3.756094859928281,772.993709802411
Bream,29.295392917039337,30.616922896983066,31.818027800711263,9.225892830705842,3.2011588582693014,492.96506012295686
Bream,22.578098651345694,23.126753729439777,24.156565037313552,5.659153905375583,2.7171630399885647,193.081469785036
Bream,27.422694913980685,27.95344984786242,29.837189362181043,7.498392885573078,3.2838005686189953,341.14151109511226
Bream,33.545756668585106,36.09885462284421,39.089672547595775,9.800754818598017,4.4601138977253445,716.4436903243907
Roach,22.94661262191488,24.351642241859487,26.844770422550305,6.953793910727072,1.8185297940006084,192.0147074188859
Roach,14.726256723085246,14.790138711311823,16.273463411489352,4.499602377072457,1.4382922325354797,5.426114924048569
Roach,18.37148869210008,18.898098699885715,20.60395439240814,5.633626507036383,1.8151081147025352,47.59571007064445
Roach,27.583702248230402,27.133482567199554,32.75003295371221,8.729090326684766,2.735594234248776,318.33074945002835
Roach,23.048465392935494,24.256676611198312,26.73108459286421,6.947789945992325,2.7067394163327054,168.76993062076818
Roach,26.447544405733566,27.996448463298414,30.206925819804095,8.101169394390203,2.8100163308103205,212.42103527278596
Roach,16.43037612513392,17.342792850410557,19.017289292219616,5.097435044796775,1.5678151653293229,57.756142627494604
Roach,11.144090101821217,12.402839207937145,12.197621130157616,3.7575239784760877,1.064955315688708,31.976173299029433
Roach,25.45897137356559,27.07548306687944,29.185098067627198,7.113553499220764,2.2243451141443167,263.77798156756813
Roach,14.89900686521536,15.144098996286754,17.26568131326032,4.938362967335546,1.5804365583792355,42.53324677646502
Roach,20.327324741416618,22.493983899808065,23.304053683169187,6.6156362744485495,2.1489825425835667,108.16694225268971
Roach,20.781535633950707,21.13465654035344,23.12684182277445,6.322077312195761,2.96052016302166,125.86682560495551
Roach,16.58397291548848,17.574342308770813,16.39890431792419,4.66002223903061,2.333083604178994,69.90925215594498
Roach,25.589479034906514,27.08846441566794,29.159354351547464,8.054687647212893,3.571217538034929,193.8818894810014
Roach,25.577615105383487,26.038189290266036,28.749768209733794,8.557219302160163,3.877178898625669,263.43121015059285
Roach,21.98519902719262,23.631532421293986,24.339058071237407,5.650215891355311,1.8832221687175796,225.4327477328294
Roach,19.893833624593558,20.865942680704187,22.822871420610504,6.017602680705519,2.4560864273977128,138.72287001201497
Roach,20.689172598567417,21.812053954309157,23.364274428816913,6.260331849731809,2.590720152486687,73.29473040074738
Roach,16.054731156537926,16.42570261308545,18.095904806237563,4.391802755076027,1.9189307962105462,61.242282706974166
Roach,19.139370472413503,20.52823485891909,20.442270023630932,5.267699955232074,2.9193936973807815,36.35768773543238
Roach,19.622240672454737,19.98479200165828,20.974678310211104,4.669192985006432,3.154422450212888,41.75034308372696
Roach,16.931961736010734,16.85612376142579,19.1833837086015,4.332464066745612,2.194167756431242,91.03324808490954
Pike,45.628957576406556,47.650635081015395,50.061202109569905,12.744491935024216,6.5652285364997685,1171.7524772959252
Pike,39.43440744281728,41.06840918689045,42.707671019126046,12.551358293006043,4.939111954882829,736.6642838061662
Pike,28.091678644943535,29.53205971097725,31.192749928167945,8.853956446625764,3.5980472055814214,258.15545335728837
Pike,34.72165051084764,35.54521686778775,39.65019187284849,8.863698331031776,5.109498299585027,532.9244458629205
Pike,46.313788373735854,48.494313043828484,50.365592989634386,11.58039285186007,4.07364568399461,1207.0925663908972
